sku,parent_sku,product_group_id,group_key,grouping_confidence,status,record_state,active,brand,catalog_line,category_primary,series,series_code,volume,work_title,product_kind,product_type,instrument,voice,transposition,register,clef,ensemble,scoring,voice_count,format,title_full,title_short,code_short,description,content_status,content_source,bullet_point_1,bullet_point_2,bullet_point_3,bullet_point_4,bullet_point_5,tags,price_net,vat_percent,price_gross,currency,price_source,stock_on_hand,stock_enabled,weight_grams,isbn13,isbn10,ean,asin,asin_source,asin_verified,fnsku,fnsku_status,amazon_seller_sku,amazon_status,amazon_product_type,amazon_product_id_type,amazon_product_id,amazon_fulfillment,amazon_quantity,amazon_title,amazon_item_name,amazon_description_html,wix_handle_id,wix_visible,wix_collections,wix_media_urls,wix_description_html,erp_category,source_title_xlsx,source_title_wix,source_title_erp,title_source,source_of_truth,sot_row,conflict_flags,conflict_notes
XW-4050,,c821776e-55a3-5bbd-8d88-2bbedaea1530,WORK|trag mi wind,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Trag mi Wind,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Trag mi Wind [7-stimmig],Trag mi Wind [7st],TRAG_MI_WIND_7ST,Trag mi Wind [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trag mi Wind,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,56,,
XW-4051,,6f075a66-f52f-54c8-9896-fa8c62b853ae,WORK|marsch der welt,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Marsch der Welt,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Marsch der Welt [7-stimmig],Marsch der Welt [7st],MARSCH_DER_WELT_7ST,Marsch der Welt [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marsch der Welt,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,57,,
XW-4052,,8bc37ae2-ef32-5691-a681-b4654b3bee70,WORK|well done,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Well Done,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Well Done [7-stimmig],Well Done [7st],WELL_DONE_7ST,Well Done [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Well Done,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,58,,
XW-4053,,92e046aa-3c67-5f89-a5f7-c4ae94172467,WORK|ana fuer s herz,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Ana für's Herz,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Ana für's Herz [7-stimmig],Ana für's Herz [7st],ANA_FUER_S_HERZ_7ST,Ana für's Herz [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ana für's Herz,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,59,,
XW-4054,,c19c380a-6e1b-56d1-b08d-98e3d5a5e7ee,WORK|komische polka,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Komische Polka,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Komische Polka [7-stimmig],Komische Polka [7st],KOMISCHE_POLKA_7ST,Komische Polka [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Komische Polka,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,60,,
XW-4055,,a3c95385-fbd5-5265-b303-8d1fc525a000,WORK|auf da brandlhuett n,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Auf da Brandlhütt'n,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Auf da Brandlhütt'n [7-stimmig],Auf da Brandlhütt'n [7st],AUF_DA_BRANDLHUETT_N_7ST,Auf da Brandlhütt'n [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auf da Brandlhütt'n,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,61,,
XW-4056,,9bf3e682-eadb-5665-aa35-c0af5cea005d,WORK|musette,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Musette,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Musette [7-stimmig],Musette [7st],MUSETTE_7ST,Musette [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musette,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,62,,
XW-4057,,6ddaeb30-8b7a-5bc8-bffb-55d5d758efe7,WORK|cabernet polka,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Cabernet Polka,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Cabernet Polka [7-stimmig],Cabernet Polka [7st],CABERNET_POLKA_7ST,Cabernet Polka [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabernet Polka,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,63,,
XW-4058,,4e806d51-4fda-5c57-890c-953fcad435d3,WORK|allemanda,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Allemanda,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Allemanda [7-stimmig],Allemanda [7st],ALLEMANDA_7ST,Allemanda [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allemanda,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,64,,
XW-4059,,9d1754d6-51c9-5673-9afd-de4bb8d91c3d,WORK|voruebermorgen,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,vorÜbermorgen,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,vorÜbermorgen [7-stimmig],vorÜbermorgen [7st],VORUEBERMORGEN_7ST,vorÜbermorgen [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vorÜbermorgen,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,66,,
